land_description,latitude,longitude
SW-26-55-19-W4,53.77801063,-112.7279159
SW-26-55-19-W4,53.77802489,-112.721648
NW-22-55-19-W4,53.77064999,-112.7526906
NW-22-55-19-W4,53.77065045,-112.7464014
NE-21-55-19-W4,53.77065531,-112.7589729
SE-28-55-19-W4,53.7742631,-112.7590034
SW-27-55-19-W4,53.77426529,-112.7527149
SW-27-55-19-W4,53.77426545,-112.7464183
SW-27-55-19-W4,53.77797191,-112.7526402
SW-27-55-19-W4,53.77797491,-112.7463749
SE-28-55-19-W4,53.77797326,-112.7589546
SE-26-55-19-W4,53.77429958,-112.7094264
SW-25-55-19-W4,53.77431063,-112.7031897
SW-25-55-19-W4,53.77431297,-112.6968986
SW-25-55-19-W4,53.7780355,-112.6968986
NE-08-56-18-W4,53.82881403,-112.6349586
NW-08-56-18-W4,53.82881493,-112.6471611
SE-17-56-18-W4,53.83251801,-112.6349515
SW-17-56-18-W4,53.83253889,-112.6533447
SE-17-56-18-W4,53.83623554,-112.634959
SW-17-56-18-W4,53.83624911,-112.6471597
SW-17-56-18-W4,53.8362542,-112.6533825
NW-08-56-18-W4,53.82882339,-112.653396
SW-08-56-18-W4,53.82158426,-112.6534562
SE-08-56-18-W4,53.82158894,-112.634965
SE-20-55-18-W4,53.76333492,-112.6350318
NE-20-55-18-W4,53.77056354,-112.6350153
NW-16-55-18-W4,53.75610155,-112.6287979
NE-17-55-18-W4,53.75610536,-112.6350579
NW-16-55-18-W4,53.75612161,-112.6224932
NW-17-55-18-W4,53.75612147,-112.6534838
SW-21-55-18-W4,53.76335494,-112.6224714
NW-21-55-18-W4,53.77055974,-112.6287464
SW-21-55-18-W4,53.76333086,-112.6287721
NW-09-55-18-W4,53.74146173,-112.6225675
NE-08-55-18-W4,53.74147256,-112.635122
SW-16-55-18-W4,53.74516254,-112.6225577
SW-16-55-18-W4,53.74516978,-112.6288365
SE-17-55-18-W4,53.7451747,-112.6351142
SW-16-55-18-W4,53.74887348,-112.6288235
SW-16-55-18-W4,53.74887524,-112.6225335
SE-17-55-18-W4,53.74887803,-112.635096
NW-09-55-18-W4,53.74146903,-112.6288441
SW-04-55-18-W4,53.71985359,-112.6288082
SW-04-55-18-W4,53.71985522,-112.6225275
SE-05-55-18-W4,53.7198625,-112.635072
SW-09-55-18-W4,53.73423621,-112.6225858
SE-08-55-18-W4,53.73424809,-112.6351363
NE-05-55-18-W4,53.72703449,-112.635131
NW-04-55-18-W4,53.72700458,-112.6225859
NW-04-55-18-W4,53.72702504,-112.6288797
SW-29-55-18-W4,53.77427506,-112.653523
SW-29-55-18-W4,53.77798181,-112.6535124
SW-20-55-18-W4,53.76334425,-112.6535065
SW-29-55-18-W4,53.7742727,-112.6472492
NW-20-55-18-W4,53.77056946,-112.6472484
SW-20-55-18-W4,53.76334189,-112.6472465
SW-29-55-18-W4,53.77797978,-112.6472372
NW-08-55-18-W4,53.74148262,-112.6536437
NW-08-55-18-W4,53.7414792,-112.6473699
SW-08-55-18-W4,53.73424707,-112.6536535
SW-08-55-18-W4,53.73424763,-112.6473805
SW-17-55-18-W4,53.74519062,-112.6536367
SW-17-55-18-W4,53.74518497,-112.6473618
SW-17-55-18-W4,53.74889663,-112.6535507
NW-05-55-18-W4,53.72704613,-112.6537178
SW-05-55-18-W4,53.71992762,-112.6536726
SW-05-55-18-W4,53.71991217,-112.6473469
NW-10-55-19-W4,53.74161328,-112.7526531
SW-15-55-19-W4,53.74532377,-112.7526424
SW-15-55-19-W4,53.74903104,-112.7526387
SW-10-55-19-W4,53.73436675,-112.7464099
NW-10-55-19-W4,53.74160506,-112.7463864
SW-15-55-19-W4,53.74531522,-112.7463752
SW-15-55-19-W4,53.74902257,-112.7463709
SW-10-55-19-W4,53.73437522,-112.7526783
NW-15-55-19-W4,53.75625842,-112.746367
NE-16-55-19-W4,53.75627531,-112.7589101
SW-22-55-19-W4,53.76349921,-112.7463743
SW-22-55-19-W4,53.7635048,-112.7526542
NW-15-55-19-W4,53.75626621,-112.7526395
SE-21-55-19-W4,53.76351815,-112.7589304
NW-13-55-19-W4,53.75616226,-112.6968388
NW-13-55-19-W4,53.75616283,-112.7031173
NE-14-55-19-W4,53.75617889,-112.7093781
SW-24-55-19-W4,53.76338064,-112.7031423
SW-24-55-19-W4,53.76338292,-112.6968603
SE-23-55-19-W4,53.76340463,-112.709395
NE-23-55-19-W4,53.77061552,-112.7094034
NW-24-55-19-W4,53.77060711,-112.703174
NW-24-55-19-W4,53.77060978,-112.6968858
NE-15-55-19-W4,53.75624028,-112.7341244
NW-14-55-19-W4,53.75621232,-112.7215916
SW-14-55-19-W4,53.74899601,-112.7278682
SW-23-55-19-W4,53.76345438,-112.7215923
SE-22-55-19-W4,53.76348744,-112.7341205
SW-14-55-19-W4,53.74528835,-112.727878
SE-15-55-19-W4,53.7452977,-112.7341453
NW-23-55-19-W4,53.77064345,-112.7278373
NW-23-55-19-W4,53.77063311,-112.7215824
SW-23-55-19-W4,53.76347983,-112.7278419
SE-09-55-19-W4,53.73437593,-112.7589546
NE-09-55-19-W4,53.74160634,-112.7589283
SE-16-55-19-W4,53.74903056,-112.7589195
SE-16-55-19-W4,53.74531362,-112.7589181
SW-12-55-19-W4,53.73429651,-112.6968632
NW-12-55-19-W4,53.74153556,-112.7031041
SE-14-55-19-W4,53.74526634,-112.7093628
SW-13-55-19-W4,53.74895348,-112.7030988
SE-14-55-19-W4,53.74896355,-112.7093691
NE-11-55-19-W4,53.7415469,-112.7093745
SW-13-55-19-W4,53.74525041,-112.6968171
SW-13-55-19-W4,53.74525836,-112.7030894
SW-12-55-19-W4,53.73428433,-112.7031338
SW-03-55-19-W4,53.71997257,-112.7528708
SE-04-55-19-W4,53.71998773,-112.7591897
NE-04-55-19-W4,53.72714087,-112.7590195
NW-03-55-19-W4,53.72714133,-112.7527056
SW-03-55-19-W4,53.7199549,-112.7466264
NE-03-55-19-W4,53.7271107,-112.7342588
NW-03-55-19-W4,53.72713784,-112.7464664
SE-03-55-19-W4,53.7199416,-112.7344018
SW-02-55-19-W4,53.71993218,-112.7281169
NW-02-55-19-W4,53.72710116,-112.7279857
SW-11-55-19-W4,53.73432785,-112.7216394
NW-11-55-19-W4,53.74156861,-112.7216145
SW-11-55-19-W4,53.73434202,-112.7279096
NW-02-55-19-W4,53.72708506,-112.7217091
SW-02-55-19-W4,53.71991908,-112.7218266
SE-10-55-19-W4,53.7343506,-112.734178
NW-11-55-19-W4,53.74157928,-112.727889
NE-10-55-19-W4,53.74158818,-112.7341568
SE-02-55-19-W4,53.71989763,-112.7095357
NE-02-55-19-W4,53.72705389,-112.7094496
NW-01-55-19-W4,53.72704325,-112.7031619
SW-01-55-19-W4,53.71989108,-112.6969456
NW-01-55-19-W4,53.72706648,-112.6968982
SW-01-55-19-W4,53.71988519,-112.7032304
NW-16-56-19-W4,53.8434682,-112.7775532
NW-27-56-19-W4,53.87256205,-112.7527399
NW-28-56-19-W4,53.87256565,-112.7712775
SE-21-56-19-W4,53.85067918,-112.7589995
NE-28-56-19-W4,53.8725639,-112.7590195
NW-28-56-19-W4,53.87256677,-112.7775623
SE-29-56-19-W4,53.86162957,-112.783827
SW-04-56-19-W4,53.80334524,-112.7712811
SW-04-56-19-W4,53.80703853,-112.777547
SE-05-56-19-W4,53.80704327,-112.7838433
NW-04-56-19-W4,53.81428514,-112.7775367
SW-09-56-19-W4,53.82156804,-112.7775366
NW-09-56-19-W4,53.82879982,-112.7712633
SW-16-56-19-W4,53.83251521,-112.7775506
SE-17-56-19-W4,53.83621734,-112.7838369
NW-04-56-19-W4,53.81431695,-112.7712773
NE-08-56-19-W4,53.8287917,-112.7838353
NE-07-56-19-W4,53.82875591,-112.8086907
SE-18-56-19-W4,53.83246223,-112.8086873
SW-17-56-19-W4,53.83619191,-112.7961043
NW-29-56-19-W4,53.87253785,-112.8023781
SW-17-56-19-W4,53.83617837,-112.8023912
SW-20-56-19-W4,53.85069001,-112.7961025
NE-30-56-19-W4,53.87253417,-112.8086581
SW-20-56-18-W4,53.85066296,-112.647266
NW-29-56-18-W4,53.87252129,-112.6472542
SW-29-56-18-W4,53.86530151,-112.6472496
SW-29-56-18-W4,53.86160173,-112.6472467
NE-20-56-18-W4,53.85789582,-112.6350091
SE-29-56-18-W4,53.86529622,-112.635003
SE-20-56-18-W4,53.85067042,-112.6350115
NW-20-56-18-W4,53.85789633,-112.6472527
NW-22-56-18-W4,53.85787274,-112.6039862
NE-21-56-18-W4,53.85787945,-112.6102488
SW-27-56-18-W4,53.86157204,-112.5977117
SE-28-56-18-W4,53.86158383,-112.6102403
SW-27-56-18-W4,53.86527525,-112.5977074
NW-27-56-18-W4,53.87250604,-112.6039669
SE-28-56-18-W4,53.86528423,-112.610236
NW-15-56-18-W4,53.84341397,-112.6039689
NW-15-56-18-W4,53.84341555,-112.5977181
NE-16-56-18-W4,53.84342157,-112.6102386
SW-22-56-18-W4,53.85064079,-112.6040121
SE-21-56-18-W4,53.85065016,-112.6102673
SW-21-56-18-W4,53.85067419,-112.6287297
SW-28-56-18-W4,53.86529195,-112.6287243
NW-28-56-18-W4,53.87250565,-112.6287115
SW-28-56-18-W4,53.86159292,-112.6224681
NW-16-56-18-W4,53.84345765,-112.6286994
SW-28-56-18-W4,53.86159737,-112.6287347
SW-21-56-18-W4,53.85066678,-112.6224733
NW-21-56-18-W4,53.85789083,-112.6224697
NW-21-56-18-W4,53.85789575,-112.6287334
SE-19-56-18-W4,53.85065677,-112.6598209
NE-19-56-18-W4,53.85788861,-112.6598103
SW-29-56-18-W4,53.8653038,-112.6535233
SW-29-56-18-W4,53.86160264,-112.6535193
NW-17-56-18-W4,53.8434588,-112.6534871
NE-30-56-18-W4,53.87252032,-112.6598169
SE-30-56-18-W4,53.86159449,-112.6598046
NW-20-56-18-W4,53.85789664,-112.6535264
SW-20-56-18-W4,53.8506595,-112.6535443
SW-30-55-18-W4,53.77802244,-112.6783304
NW-30-56-18-W4,53.87250482,-112.6783558
SW-30-56-18-W4,53.86527402,-112.6783549
SW-30-56-18-W4,53.86156825,-112.6783542
NW-30-56-18-W4,53.87251015,-112.6720749
SW-19-56-18-W4,53.85064941,-112.672073
SW-30-56-18-W4,53.8652817,-112.6720716
SW-19-56-18-W4,53.85064493,-112.6783542
SE-24-56-19-W4,53.85065451,-112.6846268
NW-19-56-18-W4,53.85786226,-112.6783544
NW-19-56-18-W4,53.8578717,-112.6720714
NE-24-56-19-W4,53.8578719,-112.6846265
SW-30-56-18-W4,53.86157741,-112.6720692
NW-23-56-18-W4,53.85785042,-112.5792442
SW-26-56-18-W4,53.86155027,-112.5792328
NW-26-56-18-W4,53.87248123,-112.579203
NW-23-56-18-W4,53.85784589,-112.5729469
SW-26-56-18-W4,53.86154716,-112.5729385
NW-26-56-18-W4,53.87247713,-112.5729155
SW-23-56-18-W4,53.85063129,-112.5792665
SE-22-56-18-W4,53.85063394,-112.5855303
NW-24-56-18-W4,53.85782531,-112.5480916
NE-23-56-18-W4,53.85783739,-112.560659
NW-22-56-18-W4,53.85786728,-112.5977252
NE-22-56-18-W4,53.85785623,-112.585507
SW-14-56-18-W4,53.83246238,-112.5729434
SE-14-56-18-W4,53.83243855,-112.5606648
SE-14-56-18-W4,53.83614802,-112.5606678
SW-14-56-18-W4,53.83617257,-112.5729599
NE-11-56-18-W4,53.82874515,-112.5606715
SW-14-56-18-W4,53.83248121,-112.5792327
NW-14-56-18-W4,53.84339995,-112.5729758
SW-13-56-18-W4,53.83613953,-112.5543691
SW-14-56-18-W4,53.8361842,-112.5792668
NW-11-56-18-W4,53.82876586,-112.5729556
SW-10-56-18-W4,53.82156034,-112.6039046
NW-10-56-18-W4,53.82878313,-112.5976509
SE-16-56-18-W4,53.8362021,-112.6101928
NE-15-56-18-W4,53.843415,-112.5855308
SE-26-56-18-W4,53.86154031,-112.5606558
NE-26-56-18-W4,53.87246936,-112.560646
NW-24-56-18-W4,53.85783316,-112.5543627
NW-25-56-18-W4,53.87246546,-112.5543583
NW-25-56-18-W4,53.87245826,-112.5480845
SE-26-56-18-W4,53.86524328,-112.5606525
SW-25-56-18-W4,53.86153631,-112.5543616
SW-25-56-18-W4,53.86523969,-112.5543604
SE-23-56-18-W4,53.85061485,-112.5606666
SW-24-56-18-W4,53.85060946,-112.5543649
SW-23-56-18-W4,53.8506256,-112.5729645
SW-25-56-18-W4,53.86152866,-112.5480899
SW-25-56-18-W4,53.8652321,-112.5480881
SW-26-56-18-W4,53.86525419,-112.5792227
SW-24-56-18-W4,53.8506007,-112.5480948
SW-26-56-18-W4,53.86525044,-112.5729308
SW-27-56-18-W4,53.86157893,-112.6039732
NW-27-56-18-W4,53.87250023,-112.5976995
SE-27-56-18-W4,53.86155782,-112.5854943
SE-27-56-18-W4,53.86526174,-112.5854861
NE-27-56-18-W4,53.87248793,-112.5854703
NW-14-56-18-W4,53.84340922,-112.5792889
SE-25-56-20-W4,53.86158573,-112.8334566
SW-30-56-19-W4,53.86159064,-112.8209183
SW-30-56-19-W4,53.8652928,-112.8271934
SE-25-56-20-W4,53.86529312,-112.8334569
NW-30-56-19-W4,53.87252358,-112.8271894
NE-25-56-20-W4,53.87252659,-112.833456
NW-30-56-19-W4,53.87252754,-112.8209109
SE-20-56-19-W4,53.85069474,-112.7838403
SW-21-56-19-W4,53.85069745,-112.7775559
SW-28-56-19-W4,53.8653417,-112.7775526
NW-21-56-19-W4,53.85792399,-112.7712591
SW-28-56-19-W4,53.86163794,-112.7712586
SW-04-56-19-W4,53.80705569,-112.7712484
NE-05-56-19-W4,53.81428673,-112.7838249
SW-28-56-19-W4,53.86533986,-112.7712669
NW-21-56-19-W4,53.85793021,-112.7775509
SW-28-56-19-W4,53.86163835,-112.7775455
NW-07-56-19-W4,53.82873815,-112.8209622
SW-19-56-19-W4,53.85065064,-112.8272281
SW-19-56-19-W4,53.85065956,-112.82094
SE-24-56-20-W4,53.85066573,-112.8334821
NE-12-56-20-W4,53.82875368,-112.8334874
NE-19-56-19-W4,53.85790537,-112.8086694
NW-20-56-19-W4,53.85791336,-112.8023815
SW-29-56-19-W4,53.86160009,-112.8023793
NW-29-56-19-W4,53.87254503,-112.7960968
SW-29-56-19-W4,53.86531537,-112.7960933
SE-08-56-19-W4,53.82155764,-112.783834
SE-30-56-19-W4,53.86159703,-112.8086632
NW-17-56-19-W4,53.84343681,-112.7961071
SW-17-56-19-W4,53.83247098,-112.8023898
SE-09-56-19-W4,53.82156736,-112.7590027
SW-09-56-19-W4,53.82156831,-112.7712561
SW-21-56-19-W4,53.85069192,-112.7712689
NW-22-56-19-W4,53.85790263,-112.7527243
NE-21-56-19-W4,53.85790976,-112.7589997
NW-03-56-19-W4,53.8144094,-112.7463976
SW-22-56-19-W4,53.8506739,-112.7527114
NW-15-56-19-W4,53.84345253,-112.746434
SW-34-55-19-W4,53.79264393,-112.752545
NE-28-55-19-W4,53.78527343,-112.7588815
SW-22-56-19-W4,53.85068174,-112.7464417
NW-22-56-19-W4,53.85790995,-112.7464555
SW-27-56-19-W4,53.86162758,-112.7527313
SW-27-56-19-W4,53.86162841,-112.7464563
SE-28-56-19-W4,53.86163254,-112.7590044
SW-27-56-19-W4,53.86532994,-112.7527322
SW-27-56-19-W4,53.86533027,-112.7464586
NW-27-56-19-W4,53.87256079,-112.7464671
SE-16-56-19-W4,53.83250469,-112.7589988
SW-15-56-19-W4,53.83251882,-112.7464026
SW-15-56-19-W4,53.83621571,-112.7464114
SE-15-56-19-W4,53.83625453,-112.7342068
NE-16-56-19-W4,53.84345108,-112.7589913
SW-14-56-19-W4,53.83624793,-112.721708
NW-11-56-19-W4,53.82884935,-112.7217025
NW-10-56-19-W4,53.82881302,-112.7464012
NW-15-56-19-W4,53.84344543,-112.7527044
SW-07-56-18-W4,53.8215864,-112.6720461
NE-13-56-19-W4,53.84343696,-112.6846288
